Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Universidade de São Paulo,BR,Brazil,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,91.8,69.9,17.4,40.6,7.6,2.7,94.7,78.9,56.1,Private
Aalto University,FI,Finland,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Young (10-24 years old),A,44.5,45.8,44.4,89.3,94.9,35.6,90.3,79.8,55.9,Private
Université de Montréal ,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,57.4,47.2,76.2,27.6,89.5,53.7,86.0,19.3,55.9,Private
Freie Universitaet Berlin,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,80.7,44.9,4.0,63.5,63.0,42.0,91.9,33.3,55.8,Private
Washington University in St. Louis,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,40.1,15.3,99.9,55.6,82.4,55.1,84.9,71.0,55.8,Public
University of Bern,CH,Switzerland,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,30.3,35.5,64.9,98.3,100.0,41.9,95.3,18.4,55.7,Private
Pontificia Universidad Católica de Chile (UC),CL,Chile,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,91.8,98.1,22.3,12.5,17.9,3.9,82.7,90.4,54.9,Public
Newcastle University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,46.2,83.8,39.1,58.9,84.8,75.6,96.9,14.9,54.8,Private
Universiti Putra Malaysia (UPM),MY,Malaysia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,56.8,59.2,75.4,19.5,44.2,92.7,85.0,6.2,54.7,Private
Wageningen University & Research,NL,Netherlands,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,42.8,17.0,97.4,48.2,50.5,76.4,96.9,18.8,54.6,Private
Chalmers University of Technology,SE,Sweden,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,27.9,60.7,60.5,81.6,100.0,72.4,84.1,22.5,54.5,Public
Queen Mary University of London,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,48.9,36.2,42.8,62.6,99.7,99.5,93.7,13.8,54.5,Private
University of Geneva,CH,Switzerland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,46.5,20.0,44.8,74.0,100.0,96.7,92.8,45.9,54.5,Private
Uppsala University,SE,Sweden,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,63.6,27.4,43.4,43.4,95.3,74.7,97.1,48.5,54.3,Private
Purdue University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,62.7,73.1,11.7,70.9,51.7,48.4,92.2,63.8,54.2,Private
Universiti Kebangsaan Malaysia (UKM),MY,Malaysia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,57.9,62.0,93.1,9.4,42.8,38.7,76.5,5.6,54.2,Private
Humboldt-Universität zu Berlin,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,90.1,55.6,8.7,29.5,58.1,33.9,91.4,26.0,54.1,Private
Leiden University,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,68.1,23.4,22.2,65.8,85.1,47.2,94.7,30.0,54.1,Private
Nanjing University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,57.7,17.7,32.3,96.1,54.0,8.2,74.9,29.6,53.9,Private
University of Southern California,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,54.6,59.1,28.4,71.7,36.1,77.4,89.2,94.8,53.7,Public
Kyushu University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,56.6,65.0,84.9,26.8,15.1,20.7,66.1,22.4,53.5,Private
University of Basel,CH,Switzerland,Europe,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,28.0,26.8,53.8,95.7,100.0,84.1,90.1,52.7,53.3,Private
University of Technology Sydney,AU,Australia,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,41.8,66.1,9.6,90.4,94.6,97.6,89.5,39.9,53.2,Private
Eindhoven University of Technology,NL,Netherlands,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,28.9,72.8,50.5,78.2,100.0,56.9,72.3,45.1,52.7,Private
Politecnico di Milano,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,67.8,76.8,5.4,53.5,57.5,54.3,87.8,39.7,52.4,Private
The Ohio State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,61.1,62.2,51.1,34.6,63.0,16.2,96.5,41.9,52.0,Private
Hokkaido University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,55.6,60.7,77.8,30.0,18.3,17.2,72.8,16.7,51.9,Private
"KIT, Karlsruhe Institute of Technology",DE,Germany,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,44.7,67.7,33.3,72.0,68.6,50.6,89.6,54.3,51.9,Private
Ghent University,BE,Belgium,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,54.0,30.1,83.2,26.9,72.5,21.4,99.1,24.8,51.6,Private
Universiti Sains Malaysia (USM),MY,Malaysia,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,59.7,66.6,65.2,13.4,25.4,75.3,79.6,6.0,51.6,Private
University of Groningen,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,51.6,21.6,54.4,42.2,93.4,86.9,96.3,20.9,51.4,Private
Lancaster University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,39.6,30.0,31.5,82.2,93.3,94.5,88.9,28.3,51.2,Private
RWTH Aachen University,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,49.5,88.7,5.4,73.3,48.3,81.1,84.1,30.8,51.1,Private
University of Rochester,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,23.8,20.1,99.3,55.0,74.9,95.1,75.1,46.5,51.1,Public
"University of California, Santa Barbara (UCSB)",US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,55.9,24.0,10.6,97.2,57.8,28.4,78.4,15.6,50.9,Private
Al-Farabi Kazakh National University,KZ,Kazakhstan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,49.1,76.9,98.3,1.3,30.5,34.6,35.3,12.3,50.8,Private
University of Vienna,AT,Austria,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,69.4,55.3,24.2,14.1,98.9,89.2,96.6,73.0,50.6,Private
McMaster University,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,39.9,50.2,84.7,21.3,99.3,59.2,79.8,42.9,50.4,Private
Stockholm University,SE,Sweden,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,54.5,17.7,29.2,62.5,82.0,77.1,97.3,69.3,50.1,Private
University of Waterloo,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,40.2,77.6,7.0,82.5,79.0,82.0,83.6,87.7,50.0,Private
Emory University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,25.2,15.7,99.1,68.7,50.1,31.1,87.7,44.5,49.5,Public
Indian Institute of Science,IN,India,Asia,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Historic (100 years old and more),A,37.6,22.9,56.3,100.0,11.7,1.9,46.0,14.8,49.5,Private
Hanyang University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,45.0,79.1,83.2,17.6,18.8,43.8,68.0,33.9,49.4,Public
Technische Universität Berlin (TU Berlin),DE,Germany,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,55.1,64.9,48.5,23.6,46.1,75.0,83.2,31.6,49.3,Private
Michigan State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,60.5,61.4,12.9,58.9,62.1,16.9,93.2,53.6,48.9,Private
King Fahd University of Petroleum & Minerals,SA,Saudi Arabia,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,30.3,24.9,88.5,50.9,100.0,21.8,70.2,66.7,48.8,Private
Aarhus University,DK,Denmark,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,55.6,33.5,32.4,55.2,87.9,16.3,95.4,33.5,48.6,Private
University of York,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,43.3,36.1,45.0,48.6,88.1,82.1,88.9,23.7,48.4,Private
The University of Exeter,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,41.1,56.1,31.5,55.3,92.3,77.7,94.8,15.9,48.2,Private
Texas A&M University,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,61.5,65.0,5.0,67.8,24.8,14.7,91.1,36.3,47.9,Private
"University of Maryland, College Park",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,51.2,35.6,37.1,71.1,23.8,14.9,92.6,61.4,47.9,Private
Cardiff University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,46.0,47.7,40.3,41.8,84.1,74.7,91.4,19.5,47.8,Private
Alma Mater Studiorum - University of Bologna,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,78.5,43.1,3.5,49.7,7.8,10.8,95.1,40.7,47.5,Private
Universidad de Chile,CL,Chile,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,80.0,92.0,12.5,13.9,9.4,5.6,77.4,42.6,47.5,Private
Eberhard Karls Universität Tübingen,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,44.7,21.0,96.7,14.9,67.0,26.1,96.5,16.6,47.2,Private
Tecnológico de Monterrey,MX,Mexico,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),B,48.8,92.8,72.9,2.2,52.9,8.6,65.1,85.6,47.1,Public
Sapienza University of Rome,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,78.0,36.6,4.5,50.2,3.4,11.4,98.0,55.8,46.8,Private
Indian Institute of Technology Bombay (IITB),IN,India,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,53.3,86.5,25.8,55.1,3.9,1.6,58.0,76.7,46.7,Private
Western University,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,30.6,60.5,4.6,96.9,99.8,57.2,86.0,81.0,46.7,Private
Ecole des Ponts ParisTech,FR,France,Europe,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,8.4,55.3,97.4,56.7,36.3,95.0,43.8,90.4,46.5,Private
Indian Institute of Technology Delhi (IITD),IN,India,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,49.0,79.2,27.7,65.2,2.6,1.7,42.2,84.8,46.5,Private
Case Western Reserve University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,18.3,20.2,89.1,65.8,47.8,64.6,72.5,40.9,46.2,Public
National Tsing Hua University,TW,Taiwan,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,51.3,69.0,34.4,47.7,17.7,19.1,35.8,5.5,45.9,Private
Universitat Autònoma de Barcelona,ES,Spain,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,62.2,28.9,11.8,66.9,20.7,20.2,94.1,20.0,45.8,Private
Technische Universität Wien,AT,Austria,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,30.9,50.3,12.3,86.6,79.7,86.7,76.7,29.5,45.7,Private
University of Bath,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,34.4,68.9,19.9,59.1,97.4,83.6,78.2,41.0,45.7,Private
Khalifa University of Science and Technology,AE,United Arab Emirates,Asia,"Small (Fewer than 5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Young (10-24 years old),A,16.6,15.2,91.7,51.9,100.0,69.7,72.8,15.8,45.6,Private
University College Dublin,IE,Ireland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,48.7,46.8,22.5,43.0,98.7,63.1,87.6,64.4,45.6,Private
University of Pittsburgh,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,39.9,16.3,96.3,37.4,7.9,13.8,90.3,44.0,45.6,Private
Universitat de Barcelona,ES,Spain,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,71.9,28.1,13.6,44.5,14.6,26.5,96.9,53.5,45.5,Private
University of Gothenburg,SE,Sweden,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,37.4,20.1,66.1,34.4,86.9,74.4,94.9,48.7,45.4,Private
University of Minnesota Twin Cities,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,60.1,28.2,38.2,49.2,7.1,10.1,97.6,54.5,45.4,Private
University of Wollongong,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,29.4,34.1,20.9,88.0,93.9,70.1,91.4,24.2,45.4,Private
University of Florida,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,48.5,47.0,71.4,26.4,17.5,11.3,98.0,54.0,45.3,Private
Albert-Ludwigs-Universitaet Freiburg,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,47.4,18.6,36.5,57.3,67.6,41.0,89.0,19.3,45.2,Private
RMIT University,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,36.6,55.5,6.7,66.0,100.0,93.4,85.8,41.0,44.6,Private
University of Liverpool,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,42.7,34.3,41.5,33.7,87.5,88.5,98.1,38.9,44.6,Private
"The University of Newcastle, Australia (UON)",AU,Australia,Oceania,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,29.1,25.7,34.1,86.7,99.9,17.6,78.6,45.1,44.5,Private
Curtin University,AU,Australia,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,30.5,41.2,13.9,89.4,100.0,44.0,93.7,20.1,44.4,Private
Wuhan University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,38.8,56.6,13.8,88.1,42.4,7.2,72.8,32.7,44.3,Private
Macquarie University,AU,Australia,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,30.9,48.9,13.6,74.6,93.0,88.9,88.3,53.9,44.2,Private
Université catholique de Louvain (UCLouvain),BE,Belgium,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,49.7,43.0,5.4,61.7,89.4,38.4,89.6,49.1,44.2,Public
Keio University,JP,Japan,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,50.3,91.9,60.3,6.6,10.6,12.4,46.0,83.7,44.1,Public
Ulsan National Institute of Science and Technology (UNIST),SK,South Korea,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Young (10-24 years old),A,11.8,7.4,79.8,99.9,38.3,12.0,31.7,14.9,44.1,Private
Vanderbilt University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,25.9,22.2,100.0,38.5,38.7,30.0,83.0,56.1,43.9,Public
Technische Universität Dresden,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,37.4,37.0,89.1,14.9,42.9,36.0,94.2,9.9,43.6,Private
Rheinische Friedrich-Wilhelms-Universität Bonn,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,51.3,16.9,68.1,15.1,51.9,32.1,92.4,22.8,43.3,Private
National Yang Ming Chiao Tung University,TW,Taiwan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,New (Less than 10 years old),A,34.8,74.6,50.3,46.2,23.8,22.3,42.8,51.3,43.2,Private
Universiti Teknologi Malaysia ,MY,Malaysia,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,44.5,55.9,46.3,28.6,12.0,77.2,82.9,13.1,43.0,Private
University of Lausanne,CH,Switzerland,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,30.6,16.8,43.5,61.0,99.9,59.1,82.0,53.4,43.0,Private
Dartmouth College,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,19.2,25.9,65.2,86.7,5.7,32.8,53.7,96.7,42.8,Public
Waseda University,JP,Japan,Asia,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,58.7,96.5,27.2,4.4,28.4,35.2,63.5,72.2,42.8,Public
University of Bergen,NO,Norway,Europe,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,33.8,8.1,76.0,41.1,86.6,8.0,87.9,21.7,42.7,Private
Erasmus University Rotterdam ,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,35.6,47.0,28.3,54.9,83.2,53.2,87.1,56.1,42.6,Private
Qatar University,QA,Qatar,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,24.4,33.2,61.1,36.9,100.0,94.8,90.1,1.1,42.6,Private
Universidade Estadual de Campinas (Unicamp),BR,Brazil,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,68.7,32.7,11.6,43.2,8.1,3.2,84.1,13.4,42.5,Private
Universite libre de Bruxelles,BE,Belgium,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,34.3,50.4,4.1,67.8,96.6,86.3,82.2,49.6,42.5,Private
Tongji University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,33.2,10.0,26.6,87.5,66.2,35.8,71.0,25.9,42.4,Private
University of Twente,NL,Netherlands,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,20.2,36.3,37.0,67.9,98.8,90.7,82.5,9.2,42.4,Private
Vrije Universiteit Amsterdam,NL,Netherlands,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,39.7,12.6,30.0,70.0,64.6,33.5,89.8,19.0,42.3,Private
Universidad Autónoma de Madrid,ES,Spain,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,59.0,55.5,37.3,20.8,9.0,14.7,89.3,23.0,42.2,Private
University of Göttingen,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,49.3,21.5,64.1,18.7,48.4,23.6,92.7,15.4,42.2,Private
Harbin Institute of Technology,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,26.6,8.9,50.5,96.5,9.5,7.8,64.7,15.4,42.0,Private
University of Otago,NZ,New Zealand,Oceania,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,47.1,34.3,12.5,51.4,100.0,34.5,77.0,49.3,42.0,Private
Arizona State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,46.7,40.2,8.2,59.9,67.7,37.1,90.2,33.4,41.8,Private
Universidad de los Andes,CO,Colombia,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),B,62.9,95.0,19.5,6.1,30.5,1.8,56.9,66.1,41.6,Public
University of Aberdeen,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,28.3,36.0,33.5,50.6,94.8,97.6,87.4,19.0,41.6,Private
Queensland University of Technology (QUT),AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,39.5,40.0,7.7,65.1,97.5,41.4,90.0,22.1,41.5,Private
The Hebrew University of Jerusalem,IL,Israel,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,34.8,23.8,78.8,28.7,63.7,7.1,74.6,89.3,41.5,Private
Chulalongkorn University,TH,Thailand,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,65.1,63.8,34.6,6.2,9.6,2.8,75.1,93.6,41.4,Private
National Cheng Kung University (NCKU),TW,Taiwan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,47.2,71.9,40.7,22.2,27.8,22.9,51.4,17.9,41.4,Private
Complutense University of Madrid,ES,Spain,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,69.2,57.4,22.3,10.2,5.7,15.1,96.4,67.0,41.2,Private
Southern University of Science and Technology,CN,China (Mainland),Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Young (10-24 years old),A,7.8,1.7,97.7,80.9,38.2,1.7,56.9,4.2,41.2,Private
Universität Hamburg,DE,Germany,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,50.8,19.8,16.0,58.9,43.3,21.1,93.2,34.4,40.7,Private
University of Reading,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,33.2,29.1,20.9,55.0,93.3,83.9,90.4,29.6,40.4,Private
